x,y,cell_id,population,infected_DM_0,infected_DM_1,infected_DM_2,infected_DM_3,u,var,sd,IoD,CoV
-2.2566856,53.4492361,-6.53952E+18,63,3,4,3,2,3,0.666666667,0.816496581,0.222222222,0.272165527
-2.2567127,53.4537303,-4.15547E+18,74,1,1,3,3,2,1.333333333,1.154700538,0.666666667,0.577350269
-2.2567236,53.455528,3.64461E+18,76,0,3,1,4,2,3.333333333,1.825741858,1.666666667,0.912870929
-2.2567778,53.4645164,2.26024E+18,113,2,2,2,5,2.75,2.25,1.5,0.818181818,0.545454545
-2.2568539,53.4771001,-6.82959E+17,21,0,1,1,0,0.5,0.333333333,0.577350269,0.666666667,1.154700538
-2.2568702,53.4797966,1.96304E+18,112,2,3,3,3,2.75,0.25,0.5,0.090909091,0.181818182
-2.2568919,53.4833919,-5.25236E+17,326,1,3,2,3,2.25,0.916666667,0.957427108,0.407407407,0.425523159
-2.2572895,53.5490064,7.61061E+18,74,0,0,1,0,0.25,0.25,0.5,1,2
-2.2551799,53.4492393,-8.60152E+17,131,2,5,4,3,3.5,1.666666667,1.290994449,0.476190476,0.368855557
-2.2552824,53.4663173,5.79317E+18,129,6,2,3,6,4.25,4.25,2.061552813,1,0.48507125
-2.2554877,53.500473,8.62442E+17,31,1,1,0,0,0.5,0.333333333,0.577350269,0.666666667,1.154700538
-2.2554932,53.5013718,-1.58159E+17,74,0,2,1,0,0.75,0.916666667,0.957427108,1.222222222,1.276569477
-2.2555202,53.5058659,6.67307E+18,90,2,1,0,0,0.75,0.916666667,0.957427108,1.222222222,1.276569477
-2.2555364,53.5085624,-7.81434E+17,114,0,0,0,1,0.25,0.25,0.5,1,2
-2.255596,53.5184496,6.51265E+18,11,0,1,0,1,0.5,0.333333333,0.577350269,0.666666667,1.154700538
-2.2556231,53.5229437,4.97829E+18,75,1,0,0,1,0.5,0.333333333,0.577350269,0.666666667,1.154700538
-2.2557857,53.5499085,-8.27549E+18,64,0,0,0,1,0.25,0.25,0.5,1,2
-2.2536635,53.4474449,-7.15245E+18,100,6,3,1,5,3.75,4.916666667,2.217355783,1.311111111,0.591294875
-2.2537224,53.4573321,-3.80854E+18,68,0,1,3,2,1.5,1.666666667,1.290994449,1.111111111,0.860662966
-2.2537654,53.4645228,6.61188E+18,72,1,4,3,2,2.5,1.666666667,1.290994449,0.666666667,0.516397779
-2.2537976,53.4699158,5.61186E+16,104,2,2,4,2,2.5,1,1,0.4,0.4
-2.2539157,53.4896902,-3.35204E+18,143,1,2,2,0,1.25,0.916666667,0.957427108,0.733333333,0.765941686
-2.2541309,53.5256434,-5.41837E+18,112,0,1,0,1,0.5,0.333333333,0.577350269,0.666666667,1.154700538
-2.2521259,53.442055,4.16468E+18,102,3,4,0,4,2.75,3.583333333,1.892969449,1.303030303,0.688352527
-2.2521791,53.4510434,-7.06229E+18,2,0,1,0,0,0.25,0.25,0.5,1,2
-2.2522378,53.4609306,-4.84229E+17,18,2,0,1,0,0.75,0.916666667,0.957427108,1.222222222,1.276569477
-2.2525155,53.50767,-8.52307E+18,240,0,1,1,2,1,0.666666667,0.816496581,0.666666667,0.816496581
-2.2525369,53.5112653,5.33637E+17,84,0,0,1,3,1,2,1.414213562,2,1.414213562
-2.2525422,53.5121642,2.31451E+18,164,3,0,1,0,1,2,1.414213562,2,1.414213562
-2.2506151,53.4411593,-7.67596E+18,71,1,1,1,1,1,0,0,0,0
-2.2507211,53.4591361,-7.1929E+17,69,3,0,3,3,2.25,2.25,1.5,1,0.666666667
-2.2507582,53.465428,-8.08523E+18,67,2,5,3,3,3.25,1.583333333,1.258305739,0.487179487,0.387170997
-2.2508271,53.4771129,3.54019E+17,26,1,1,0,1,0.75,0.25,0.5,0.333333333,0.666666667
-2.2509439,53.4968872,8.70127E+18,84,1,2,2,0,1.25,0.916666667,0.957427108,0.733333333,0.765941686
-2.2509811,53.503179,9.00149E+18,97,1,0,0,0,0.25,0.25,0.5,1,2
-2.2509865,53.5040779,3.39968E+18,124,1,1,1,3,1.5,1,1,0.666666667,0.666666667
-2.2510024,53.5067744,-2.55781E+18,141,0,2,2,0,1,1.333333333,1.154700538,1.333333333,1.154700538
-2.2510556,53.5157627,5.42994E+18,66,1,0,0,1,0.5,0.333333333,0.577350269,0.666666667,1.154700538
-2.2510822,53.5202568,1.73557E+18,102,2,1,1,0,1,0.666666667,0.816496581,0.666666667,0.816496581
-2.2510875,53.5211556,-7.50362E+18,116,1,0,1,0,0.5,0.333333333,0.577350269,0.666666667,1.154700538
-2.2511194,53.5265486,6.59689E+18,65,0,0,1,0,0.25,0.25,0.5,1,2
-2.2490518,53.4312752,8.50847E+18,125,2,1,0,0,0.75,0.916666667,0.957427108,1.222222222,1.276569477
-2.2491413,53.4465555,-4.99529E+17,70,0,2,2,2,1.5,1,1,0.666666667,0.666666667
-2.2491992,53.4564428,-1.26267E+18,97,1,2,5,1,2.25,3.583333333,1.892969449,1.592592593,0.841319755
-2.2494471,53.498688,8.28754E+18,51,1,0,1,1,0.75,0.25,0.5,0.333333333,0.666666667
-2.2494683,53.5022834,7.61066E+18,96,1,1,1,1,1,0,0,0,0
-2.2495317,53.5130693,-1.21E+18,57,0,0,0,1,0.25,0.25,0.5,1,2
-2.2495581,53.5175635,8.54257E+18,130,0,2,0,0,0.5,1,1,2,2
-2.249574,53.52026,3.82983E+18,24,0,0,0,1,0.25,0.25,0.5,1,2
-2.2476933,53.4564459,-7.65387E+18,97,3,4,2,0,2.25,2.916666667,1.707825128,1.296296296,0.75903339
-2.2477614,53.4681308,-6.94965E+18,180,8,8,9,2,6.75,10.25,3.201562119,1.518518519,0.474305499
-2.2477718,53.4699285,7.30869E+18,138,5,5,5,7,5.5,1,1,0.181818182,0.181818182
-2.2479397,53.4986912,-4.08912E+18,48,0,1,0,1,0.5,0.333333333,0.577350269,0.666666667,1.154700538
-2.2480027,53.5094772,2.68982E+18,85,0,0,1,1,0.5,0.333333333,0.577350269,0.666666667,1.154700538
-2.2480132,53.5112748,4.51658E+18,96,1,0,0,1,0.5,0.333333333,0.577350269,0.666666667,1.154700538
-2.2480184,53.5121736,1.42185E+18,105,0,1,0,0,0.25,0.25,0.5,1,2
-2.2461665,53.4528537,5.07081E+18,99,1,3,2,1,1.75,0.916666667,0.957427108,0.523809524,0.547101204
-2.2461769,53.4546513,-3.17467E+18,43,2,1,1,0,1,0.666666667,0.816496581,0.666666667,0.816496581
-2.2461977,53.4582467,8.90749E+18,85,2,5,3,2,3,2,1.414213562,0.666666667,0.471404521
-2.2462029,53.4591455,1.80697E+18,36,0,3,0,0,0.75,2.25,1.5,3,2
-2.2464479,53.5013908,9.04643E+18,103,0,2,1,1,1,0.666666667,0.816496581,0.666666667,0.816496581
